,text,searchTerm,disease,processed_text
0,Buy top levothyroxine online on our free comparison site! BEST OFFER SUPER PRICES -Best Place To Compare Prices https://t.co/wAoqUl71is,Levothyroxine,Cancer,"['buy', 'top', 'free', 'comparison', 'site', 'best', 'offer', 'super', 'best', 'place', 'compar']"
1,"@femmebostonian @Cherrell_Brown This has been super helpful. I switched from levothyroxine to synthroid due to cost, and need to get back to taking it regularly. I was hard headed about taking it bc Iâ€™m so wary of western medicine. Thanks again!!",Levothyroxine,Cancer,"['super', 'help', 'switch', 'due', 'cost', 'need', 'get', 'back', 'take', 'regularli', 'hard', 'head', 'take', 'wari', 'western', 'medicin', 'thank']"
2,For a decade I was on Levothyroxine 137 mcg. I was not seeing any changes in my symptoms. I was even bumped up to 175mcg for a bit but it caused bad heart palpitations. I was switched to synthroid. It was suggested my body was not absorbing the levo...,Levothyroxine,Cancer,"['decad', 'see', 'even', 'bit', 'bad', 'heart', 'switch', 'bodi', 'absorb', 'levo']"
3,@yourAAH Hi could you tell me which of your UK pharmacies stock your 75mcg levothyroxine,Levothyroxine,Cancer,"['hi', 'could', 'tell', 'stock']"
4,And my levothyroxine,Levothyroxine,Cancer,[]
5,Buy top levothyroxine online on our free comparison site! BEST OFFER SUPER PRICES -Best Place To Compare Prices https://t.co/wAoqUl71is,Levothyroxine,Cancer,"['buy', 'top', 'free', 'comparison', 'site', 'best', 'offer', 'super', 'best', 'place', 'compar']"
6,"Telephone Survey to Assess Substitution of Electronically Prescribed Branded Levothyroxine: The e-Rx LT4 Study by Jill M Paulson in Journal of Endocrinology and Thyroid Research (JETR)
https://t.co/mKflEi5xKI",Levothyroxine,Cancer,"['telephon', 'survey', 'assess', 'substitut', 'brand', 'studi', 'journal', 'endocrinolog', 'thyroid', 'research']"
7,Buy top levothyroxine online on our free comparison site! BEST OFFER SUPER PRICES -Best Place To Compare Prices https://t.co/wAoqUl71is,Levothyroxine,Cancer,"['buy', 'top', 'free', 'comparison', 'site', 'best', 'offer', 'super', 'best', 'place', 'compar']"
8,"Dear pfiser, Thyroxine.fatalities occur,  Ny puberty. Growth hormone deficiency. for 2003. Levothyroxine. Why don't writer in idiot. Power.",Levothyroxine,Cancer,"['dear', 'occur', 'puberti', 'growth', 'hormon', 'defici', 'dont', 'writer', 'idiot', 'power']"
9,"Dear pfiser, Thyroxine. Ny puberty. Growth hormone deficiency. for 2003. Levothyroxine. Why don't writer in idiot. Power.",Levothyroxine,Cancer,"['dear', 'thyroxin', 'puberti', 'growth', 'hormon', 'defici', 'dont', 'writer', 'idiot', 'power']"
